,title,company,url
0,Data Analyst (m/f/x) Foreign Exchange Technology,Deutsche Bank AG,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bj-xBWVmzs7UIwFa-9Zm6MwNuQFkwLehssDYDaWnvIcSc_G9aN7SHbug-HO4a5Bk0mrA8WTeffEbuwVAbGhD1WX2meOa2uWPYl30A6phdvmDHM6bn9bSvXlp0ibb1GlNiqBEShthu4QsZYleLQWm2pk-ygmyKkukC-RRDV-hFQB5VMwYCJYi3Dpjr340npwdZtNk_EQTVyAEp1bufT5Fn0QzJcw14xvZs4Tyr2VnKZHFHBYLg1x0cz1yumgadk4FhMM3bqA7TMGYHoATGd9t6ZwPOidgmrYTfuKD0erl42xJnpZkprsrvt8Chg4ft4H8uJhUmpGcc0_gfh-p8db4AQyFz4EuGLSUfBMeD8H-4n0knkHMsK_3fKiUO737f1KMYcVXujsRkqlVAvCMURBQAwj4HdECG8p6asrYZbZBZfP8F84yw_kFwrMi-qMKLCRpt9X1dgMijTcleRwLdpcr3Nr4HOqRXbJZ-FXuE-vy5LLW1D9H58Io9CwkQjoWMwCfxmS5-LEHfSN71slKEbXeUJuQy79oLWG6zoKn5HRkW3yaC-8SjSiKgIOd50R8WU8xbzZ6_en64quQDPaXF6-AaU6bxR7wSUWRQ_yTsFPzBr_wLVTsNEeXdM7tyr380OPmCNoLXKXprcFj8HVG4qsqV6UWl5wxHDMFsIYsaxSNPrfPlhbJuDze18QAirzfXZn5M-js1-rWPBUl_J88OcPkK-D-si_h3ZnDsoBLxEl0atj-IZHPc4_-w_DlGNGMvyXv-uw3fBDvmdcgQxPzak1w0XXK2zGb14xjxfgFb9UMUZLdhP2Mi5KB3ozrfJbN7O2vbt1jBQ2Ulp1iDai5CYuBNfSdPpdQbhZt8Qib8eKpvcsWUQooJwgSf5EkMPIXfpnew=&p=0&fvj=0&vjs=3
1,Data Analyst (m/f/d) - Insurtech,Project A Services GmbH & Co. KG,https://de.indeed.com/rc/clk?jk=db2759308e304ffe&fccid=a670830bbf1f129d&vjs=3
2,Data Analyst (m/f/d),Realtainment - ArtNight,https://de.indeed.com/rc/clk?jk=f5cc006d9100a468&fccid=dd616958bd9ddc12&vjs=3
3,Senior Data Analyst (w/m/d),Beets&Roots GmbH,https://de.indeed.com/company/Beets&Roots-GmbH/jobs/Senior-Data-Analyst-11697cb0b3e3b75c?fccid=54e07b6a6ec7a399&vjs=3
4,Data Analyst (gn),eduki,https://de.indeed.com/company/Polarstern-GmbH/jobs/Data-Analyst-467619cbc5610a18?fccid=bff59760e0052f62&vjs=3
5,Business Data Analyst â€“ Level 1 (m/f/d),ICE International Copyright Enterprise Germany...,https://de.indeed.com/company/ICE-International-Copyright-Enterprise-Germany-GmbH/jobs/Business-Data-Analyst-Level-5bebdf62bd07cad4?fccid=af770c1083d82607&vjs=3
6,Data Analyst (f/m/d) Berlin,Unleashed-Capital,https://de.indeed.com/rc/clk?jk=5e9a3dac09408fc7&fccid=7e876f26d36510f9&vjs=3
7,CRM Data Analyst (m/f/x),HelloFresh,https://de.indeed.com/rc/clk?jk=250afd4063d63929&fccid=d945bab513bef0db&vjs=3
8,Intern (f/m/d) - Data Analyst,SAP,https://de.indeed.com/rc/clk?jk=3e609b3d929f0e40&fccid=156c7820d1988640&vjs=3
9,Data Analyst Intern (w/m/d),Formlabs GmbH,https://de.indeed.com/rc/clk?jk=edf10280031621c6&fccid=8e0192a48bd27a99&vjs=3
10,Sustainability Data Analyst,infarm,https://de.indeed.com/rc/clk?jk=6320a04fca9df14f&fccid=b7956918391f6742&vjs=3
11,Data Analyst,betterplace.org / gut.org gAG,https://de.indeed.com/rc/clk?jk=08027bf887462986&fccid=1342d3aae558795a&vjs=3
12,Games Data Analyst,Stratosphere Games GmbH,https://de.indeed.com/rc/clk?jk=27628084cbc5df88&fccid=911f94bad3560337&vjs=3
13,Business Data Analyst,AT&T,https://de.indeed.com/rc/clk?jk=8283671371a153ea&fccid=25b5166547bbf543&vjs=3
14,Marketing Data Analyst,sennder,https://de.indeed.com/rc/clk?jk=0090c62ee95f4869&fccid=d1c83d413f5ece45&vjs=3
